Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2019-10-18;22,65;
2019-10-19;20,791667;
2019-10-20;15,658333;
2019-10-21;15,766667;
2019-10-22;17,791667;
2019-10-23;18,5875;
2019-10-24;19,55;
2019-10-25;19,3375;
2019-10-26;19,995833;
2019-10-27;24,391667;
2019-10-28;24,05;
2019-10-29;24,591667;
2019-10-30;24,95;
2019-10-31;21,425;
2019-11-01;20,879167;
2019-11-02;22,079167;
2019-11-03;25,425;
2019-11-04;23,795833;
2019-11-05;23,75;
2019-11-06;18,008333;
2019-11-07;18,266667;
2019-11-08;19,141667;
2019-11-09;20,679167;
2019-11-10;21,35;
2019-11-11;18,9875;
2019-11-12;18,066667;
2019-11-13;19,420833;
2019-11-14;21,770833;
2019-11-15;18,6;
2019-11-16;16,766667;
2019-11-17;17,141667;
2019-11-18;17,291667;
2019-11-19;18,7125;
2019-11-20;19,35;
2019-11-21;20,8625;
2019-11-22;23,025;
2019-11-23;21,475;
2019-11-24;15,733333;
2019-11-25;16,054167;
2019-11-26;18,904167;
2019-11-27;21,341667;
2019-11-28;18,558333;
2019-11-29;16,8125;
2019-11-30;20,708333;
2019-12-01;23,520833;
2019-12-02;17,233333;
2019-12-03;16,241667;
2019-12-04;19,875;
2019-12-05;22,9375;
2019-12-06;18,633333;
2019-12-07;19,3125;
2019-12-08;18,75;
2019-12-09;19,325;
2019-12-10;20,379167;
2019-12-11;20,6375;
2019-12-12;22,591667;
2019-12-13;21,825;
2019-12-14;21,183333;
2019-12-15;23,8375;
2019-12-16;25,579167;
2019-12-17;22,5125;
2019-12-18;19,941667;
2019-12-19;19,404167;
2019-12-20;21,95;
2019-12-21;24,7875;
2019-12-22;23,695833;
2019-12-23;21,733333;
2019-12-24;20,670833;
2019-12-25;22,358333;
2019-12-26;21,654167;
2019-12-27;21,241667;
2019-12-28;22,558333;
2019-12-29;22,158333;
2019-12-30;22,2375;
2019-12-31;23,320833;
2020-01-01;25,704167;
2020-01-02;22,133333;
2020-01-03;19,841667;
2020-01-04;20,2;
2020-01-05;20,083333;
2020-01-06;23,595833;
2020-01-07;25,9375;
2020-01-08;23,5375;
2020-01-09;23,758333;
2020-01-10;25,4875;
2020-01-11;26,258333;
2020-01-12;23,191667;
2020-01-13;20,8875;
2020-01-14;20,4875;
2020-01-15;23,329167;
2020-01-16;25,5;
2020-01-17;19,195833;
2020-01-18;18,575;
2020-01-19;20,354167;
2020-01-20;20,05;
2020-01-21;19,9375;
2020-01-22;19,583333;
2020-01-23;19,045833;
2020-01-24;18,620833;
2020-01-25;19,6375;
2020-01-26;21,908333;
2020-01-27;23,7375;
2020-01-28;23,525;
2020-01-29;24,325;
2020-01-30;24,408333;
2020-01-31;24,391667;
2020-02-01;22,904167;
2020-02-02;21,5125;
2020-02-03;20,395833;
2020-02-04;20,866667;
2020-02-05;21,916667;
