Nome: PORTO ALEGRE
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2019-03-29;23,05;
2019-03-30;24,066667;
2019-03-31;24,616667;
2019-04-01;24,441667;
2019-04-02;25,225;
2019-04-03;26,445833;
2019-04-04;26,2375;
2019-04-05;21,870833;
2019-04-06;20,525;
2019-04-07;21,3875;
2019-04-08;21,229167;
2019-04-09;20,054167;
2019-04-10;21,820833;
2019-04-11;22,691667;
2019-04-12;21,6875;
2019-04-13;23,0625;
2019-04-14;24,629167;
2019-04-15;23,145833;
2019-04-16;19,591667;
2019-04-17;19,729167;
2019-04-18;19,7625;
2019-04-19;21,208333;
2019-04-20;21,525;
2019-04-21;20,708333;
2019-04-22;18,8625;
2019-04-23;20,866667;
2019-04-24;22,6625;
2019-04-25;22,0375;
2019-04-26;22,483333;
2019-04-27;21,6875;
2019-04-28;20,391667;
2019-04-29;19,233333;
2019-04-30;18,4875;
2019-05-01;20,6625;
2019-05-02;19,516667;
2019-05-03;22,1625;
2019-05-04;23,2875;
2019-05-05;24,1;
2019-05-06;21,979167;
2019-05-07;19,004167;
2019-05-08;18,133333;
2019-05-09;20,729167;
2019-05-10;20,216667;
2019-05-11;18,783333;
2019-05-12;17,529167;
2019-05-13;18,666667;
2019-05-14;17,508333;
2019-05-15;18,8375;
2019-05-16;19,120833;
2019-05-17;19,079167;
2019-05-18;20,0375;
2019-05-19;21,15;
2019-05-20;20,075;
2019-05-21;19,4875;
2019-05-22;19,508333;
2019-05-23;17,504167;
2019-05-24;16,445833;
2019-05-25;16;
2019-05-26;15,733333;
2019-05-27;18,833333;
2019-05-28;18,045833;
2019-05-29;17,366667;
2019-05-30;15,529167;
2019-05-31;15,6625;
2019-06-01;16,529167;
2019-06-02;17,2875;
2019-06-03;17,308333;
2019-06-04;14,870833;
2019-06-05;15,6875;
2019-06-06;null;
2019-06-07;18,745833;
2019-06-08;16,941667;
2019-06-09;18,254167;
2019-06-10;20,375;
2019-06-11;19,45;
2019-06-12;20,454167;
2019-06-13;22,2875;
2019-06-14;22,529167;
2019-06-15;22,4625;
2019-06-16;21,45;
2019-06-17;20,004167;
2019-06-18;21,4125;
2019-06-19;18,1875;
2019-06-20;14,166667;
2019-06-21;15,9125;
2019-06-22;18,395833;
2019-06-23;20,420833;
2019-06-24;21,0375;
2019-06-25;20,95;
2019-06-26;10,308333;
2019-06-27;10,645833;
2019-06-28;16,516667;
2019-06-29;24,441667;
2019-06-30;20,6125;
2019-07-01;12,904167;
2019-07-02;10,1125;
2019-07-03;10,9375;
2019-07-04;8,55;
2019-07-05;8,0875;
2019-07-06;7,179167;
2019-07-07;6,85;
